,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det) MSE (ml),
49,stego_10041.png,0.144459707,0.131851991,0.167233115,0.147848271,0.01793231,0.042172804,0.110328321,0.002719803,0.00804101
50,stego_10042.png,0.246558739,0.282671412,0.270077784,0.266435978,0.018329712,0.021381702,0.250408435,0.004413739,0.00254101
51,stego_10043.png,0.264978438,0.313243649,0.257449638,0.278557242,0.030274261,0.15486609,0.146356868,0.00617124,0.002877586
52,stego_10044.png,0.143289383,0.145917123,0.222794705,0.17066707,0.045162971,0.035071484,0.140523971,0.000860421,0.003537398
53,stego_10045.png,0.166652602,0.008831171,0.275751896,0.15041189,0.134199437,0.103824239,0.051984948,0.002458981,0.021908455
54,stego_10046.png,0.258120782,0.330006027,0.359960777,0.316029195,0.052338896,0.267920115,0.065715616,0.013462774,0.018032296
55,stego_10047.png,0.228620071,0.203470514,0.17609334,0.202727975,0.026271237,0.028681194,0.179186051,7.44E-06,0.00043322
56,stego_10048.png,0.156205008,0.16327378,0.100528415,0.140002401,0.034367697,0.018912182,0.123424445,0.003599712,0.005863816
57,stego_10049.png,0.193064359,0.202516025,0.192377035,0.195985807,0.005665767,0.028554399,0.172352839,1.61E-05,0.000764365
58,stego_1005.png,0.283854744,0.350318858,0.280051665,0.304741756,0.039516706,0.03223849,0.281581012,0.010970835,0.006655462
59,stego_10050.png,0.123245697,0.078107156,0.112882154,0.104745002,0.023643855,0.020040103,0.086437108,0.009073515,0.01289653
60,stego_10051.png,0.178116596,0.146462239,0.148983309,0.157854048,0.017593098,0.036667223,0.125799545,0.001776281,0.005505708
61,stego_10052.png,0.331177381,0.265820563,0.204024256,0.2670074,0.06358487,0.158957746,0.128471136,0.004489992,0.005116378
62,stego_10053.png,0.158044227,0.236765007,0.35301773,0.249275655,0.098086971,0.135113685,0.131996504,0.00242809,0.004624475
63,stego_10054.png,0.101099798,0.171485719,0.135890437,0.136158651,0.035193727,0.015919695,0.12218409,0.004075718,0.006055316
64,stego_10055.png,0.135195874,0.184062457,0.1324921,0.150583477,0.029025147,0.050563109,0.105347042,0.002441993,0.008959182
65,stego_10056.png,0.174800279,0.207507124,0.173637198,0.185314867,0.019227855,0.029216986,0.160795851,0.000215653,0.001536965
66,stego_10057.png,0.138838966,0.103443898,0.141564016,0.12794896,0.021265701,0.076933549,0.055267322,0.005191352,0.020947548
67,stego_10058.png,0.171353058,0.308923116,0.385341113,0.288539096,0.108440551,0.088188234,0.219728314,0.007839171,0.000389206
68,stego_10059.png,0.061402814,0.039078859,0.162170211,0.087550628,0.065579352,0.063538267,0.025641583,0.012644861,0.030400858
69,stego_1006.png,0.347362627,0.276695234,0.307452515,0.310503459,0.035432348,0.101843858,0.232319962,0.012211014,0.00104458
70,stego_10060.png,0.247639698,0.283881124,0.27743534,0.269652054,0.019333776,0.045581768,0.23477159,0.004851409,0.001209063
71,stego_10061.png,0.144570143,0.122702827,0.113312751,0.126861907,0.016038379,0.03838843,0.092005421,0.005349181,0.011662829
72,stego_10062.png,0.219070908,0.181455785,0.171899382,0.190808692,0.02493784,0.018859553,0.175254358,8.45E-05,0.000612347
73,stego_10063.png,0.163387851,0.157539353,0.108644901,0.143190701,0.030060114,0.020584422,0.125183101,0.003227296,0.005597568
