index,image_name,Red,Green,Blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
6170,stego_15551.png,0.134576028,0.155170995,0.164722705,0.151489909,0.074614002,0.083074422,0.002353229,0.013671591,0.015406762
6171,stego_15552.png,0.097297614,0.304135516,0.259376427,0.220269852,0.042217124,0.185900931,0.000410867,0.000198784,0.108823125
6172,stego_15553.png,0.16451074,0.130120449,0.152673536,0.149101575,0.01900051,0.13262093,0.00259065,0.004539939,0.017471182
6173,stego_15554.png,0.094195735,0.04596593,0.100444154,0.08020194,0.031092442,0.050685432,0.014351575,0.02229484,0.029813402
6174,stego_15555.png,0.136553251,0.041101627,0.108659625,0.095438168,0.027500235,0.069859074,0.010933177,0.016936661,0.049080122
6175,stego_15556.png,0.088598326,0.113310988,0.096479118,0.099462811,0.041180319,0.060785665,0.010107726,0.019380631,0.012623618
6176,stego_15557.png,0.291739416,0.329598849,0.342688853,0.321342373,0.080658378,0.26180039,0.014723971,0.003819288,0.026459182
6177,stego_15558.png,0.300266226,0.212149349,0.287055902,0.266490492,0.050157965,0.227756321,0.004420986,0.000770413,0.04752208
6178,stego_15559.png,0.236150107,0.194702481,0.1875816,0.206144729,0.021776574,0.188472439,3.78E-05,0.000132885,0.026228205
6179,stego_1556.png,0.07931375,0.165790776,0.113754914,0.119619813,0.016298561,0.105033141,0.006460974,0.009018704,0.04353581
6180,stego_15560.png,0.218502317,0.232329378,0.203505391,0.218112362,0.03352212,0.190992723,0.000328058,8.11E-05,0.01441595
6181,stego_15561.png,0.195808089,0.318247922,0.201564139,0.23854005,0.156847447,0.096889469,0.001485335,0.010631782,0.069089013
6182,stego_15562.png,0.170553346,0.164703819,0.136070064,0.157109076,0.051412267,0.111425444,0.001839631,0.007845452,0.018453571
6183,stego_15563.png,0.155133585,0.151230455,0.177274415,0.161212818,0.022612065,0.141807309,0.001504445,0.003386389,0.014045988
6184,stego_15564.png,0.313227413,0.283233831,0.301088004,0.299183082,0.03183936,0.276135706,0.009837284,0.005796646,0.015087256
6185,stego_15565.png,0.310145857,0.323472048,0.325771106,0.319796337,0.024333923,0.302831492,0.014351162,0.010574316,0.008436246
6186,stego_15566.png,0.100722965,0.082261684,0.112748953,0.098577867,0.057699603,0.043381351,0.010286449,0.024529401,0.015356415
