,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
23,stego_10018.png,0.135680264,0.114136251,0.142976194,0.130930903,0.05011845,0.085076348,0.01417745,0.027199811,0.014995096
24,stego_10019.png,0.166576523,0.157345225,0.206958863,0.176960204,0.035126741,0.146996988,0.005334812,0.01060962,0.026386434
25,stego_1002.png,0.191065566,0.196847579,0.178934041,0.188949062,0.012976813,0.178285831,0.003727217,0.005142922,0.009142396
26,stego_10020.png,0.250541416,0.24924092,0.218782588,0.239521642,0.02185659,0.222528772,0.000109796,0.000754668,0.017972314
27,stego_10021.png,0.212466689,0.139688541,0.252979261,0.201711497,0.052779711,0.157230359,0.00233178,0.008606206,0.057406031
28,stego_10022.png,0.2624684,0.357225855,0.255444214,0.291712823,0.023880344,0.274384884,0.00173996,0.000594623,0.05684455
29,stego_10023.png,0.428660831,0.376315492,0.441456291,0.415477538,0.088837771,0.358486948,0.027382816,0.011769418,0.03451348
30,stego_10024.png,0.319550972,0.162771561,0.263874232,0.248732255,0.02301208,0.231036813,1.61E-06,0.000359602,0.079478963
31,stego_10025.png,0.258536257,0.203797151,0.241486821,0.234606743,0.068823901,0.178035972,0.000236952,0.005178821,0.028010606
32,stego_10026.png,0.344324244,0.323561854,0.291370234,0.319752111,0.027551561,0.300479222,0.004865357,0.002548152,0.02668178
33,stego_10027.png,0.375238747,0.272336776,0.278626904,0.308734142,0.073692101,0.253740728,0.003449699,1.40E-05,0.057680484
34,stego_10028.png,0.456766434,0.344215325,0.486745076,0.429242279,0.059220657,0.393313931,0.032127795,0.020538883,0.075145638
35,stego_10029.png,0.178986,0.260861028,0.152089744,0.197312257,0.049903522,0.155151333,0.002775998,0.00899627,0.056654098
36,stego_1003.png,0.257265757,0.310501966,0.273841549,0.280536424,0.026006004,0.261326477,0.000932473,0.000128289,0.027242237
37,stego_10030.png,0.16048307,0.182753486,0.148310048,0.163848868,0.023177316,0.144009301,0.007422018,0.011234028,0.017466655
38,stego_10031.png,0.297733589,0.294531062,0.175515907,0.255926853,0.07112713,0.198950501,3.51E-05,0.002606051,0.069656329
39,stego_10032.png,0.480964377,0.117688529,0.294994461,0.297882456,0.146303618,0.17755591,0.00229273,0.005248146,0.181655143
40,stego_10033.png,0.358251577,0.10680787,0.323217563,0.262759004,0.135419244,0.147284981,0.000162792,0.010550375,0.136188885
41,stego_10034.png,0.206607604,0.225812428,0.257768952,0.230062994,0.024235363,0.210939834,0.000397484,0.001525697,0.025844175
42,stego_10035.png,0.250125459,0.179463601,0.171164943,0.200251334,0.029959138,0.17555157,0.00247493,0.005542569,0.043391107
