,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
40,stego_10033.png,0.221228215,0.000334048,0.236117361,0.152559875,0.135419244,0.019825367,0.00276254,0.006427972,0.132041465
41,stego_10034.png,0.080164236,0.092411928,0.117019213,0.096531792,0.024235363,0.074092077,1.20E-05,0.00067122,0.018769717
42,stego_10035.png,0.136614409,0.057490623,0.089405078,0.09450337,0.029959138,0.066537642,3.02E-05,0.001119729,0.03980751
43,stego_10036.png,0.139057524,0.055155066,0.042962316,0.079058302,0.021626445,0.058701359,0.000438555,0.001705578,0.052317261
44,stego_10037.png,0.080305271,0.01746155,0.073928353,0.057231724,0.041380015,0.016535968,0.001829125,0.006966245,0.034589252
45,stego_10038.png,0.128641556,0.063187586,0.166033376,0.119287506,0.041850535,0.080819302,0.000372008,0.000367899,0.052057063
46,stego_10039.png,0.208234589,0.120957284,0.193647707,0.17427986,0.048571239,0.132126152,0.005517498,0.00103209,0.046751119
47,stego_1004.png,0.172864816,0.157728797,0.165188401,0.165260671,0.038430091,0.131899489,0.004258955,0.001017577,0.007568268
48,stego_10040.png,0.096715136,0.063165414,0.047740962,0.069207171,0.022382758,0.047896468,0.000948198,0.002714778,0.025039859
49,stego_10041.png,0.121675073,0.141360441,0.121272263,0.128102593,0.049898905,0.082310912,0.000789756,0.000312904,0.0114834
50,stego_10042.png,0.122965274,0.114083799,0.198236489,0.145095187,0.041779261,0.107820591,0.002033576,6.12E-05,0.046235469
51,stego_10043.png,0.31196798,0.391753686,0.161467367,0.288396344,0.1835253,0.128443715,0.035493182,0.000809045,0.116938718
52,stego_10044.png,0.144565332,0.154307832,0.132462539,0.143778568,0.046521854,0.102002038,0.001916563,4.01E-06,0.010943878
53,stego_10045.png,0.271795488,0.088154313,0.114989515,0.158313105,0.116830564,0.046970082,0.003400418,0.002812172,0.099190324
54,stego_10046.png,0.22026334,0.264825652,0.212920361,0.232669784,0.185188933,0.058272222,0.017601272,0.001741207,0.028088783
55,stego_10047.png,0.173367042,0.104796712,0.118865256,0.132343003,0.032856963,0.102865901,0.00104607,8.21E-06,0.036217534
56,stego_10048.png,0.087039664,0.036537056,0.04368353,0.055753417,0.008902816,0.04727145,0.00195776,0.0027803,0.027329288
57,stego_10049.png,0.139574216,0.150809153,0.132320934,0.140901434,0.043112718,0.102194603,0.001672927,4.82E-06,0.009315293
58,stego_1005.png,0.246891378,0.154631784,0.278673965,0.226732375,0.071268981,0.167393347,0.016061095,0.004541863,0.064431395
59,stego_10050.png,0.067811764,0.175174137,0.090285407,0.111090436,0.053538487,0.06080749,0.000122998,0.001536053,0.056624259
60,stego_10051.png,0.110515786,0.072610654,0.026621043,0.069915828,0.033473521,0.037704406,0.000905057,0.003880741,0.042012243
61,stego_10052.png,0.282962367,0.019853598,0.275747346,0.192854437,0.144350619,0.056686558,0.008621946,0.001876054,0.149866547
62,stego_10053.png,0.189007233,0.06823548,0.333421995,0.196888236,0.116725849,0.090755953,0.00938733,8.55E-05,0.132768801
63,stego_10054.png,0.107123066,0.100599429,0.079711769,0.095811421,0.024239978,0.073349432,1.75E-05,0.000710253,0.014319168
64,stego_10055.png,0.098082074,0.132244068,0.018490607,0.082938916,0.055828941,0.028712991,0.000291081,0.005081838,0.058369075
65,stego_10056.png,0.120063361,0.153914353,0.094557403,0.122845039,0.040726692,0.085604745,0.000521896,0.000207223,0.029776084
66,stego_10057.png,0.148164377,0.117222832,0.074108979,0.113165396,0.083652384,0.032207223,0.000173328,0.004595861,0.037194053
67,stego_10058.png,0.131814096,0.180224646,0.314756482,0.208931741,0.167434641,0.049842453,0.011866124,0.002515779,0.094789515
68,stego_10059.png,0.059040945,0.101660481,0.037900968,0.066200798,0.107765257,-0.046584668,0.001142386,0.021487065,0.032477169
69,stego_1006.png,0.187925583,0.187522083,0.205208007,0.193551891,0.094183306,0.109700545,0.008751956,9.41E-05,0.010096508
