,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev,STDEV
69,stego_1006.png,0.263217836,0.222765735,0.210940926,0.232308166,0.099010507,0.147945853,0.017505451,0.002298805,0.027413725,
70,stego_10060.png,0.254495352,0.254647043,0.223038506,0.244060301,0.067252258,0.18955612,0.02075337,0.008020299,0.018205566,
71,stego_10061.png,0.090814063,0.06665025,0.098580333,0.085348216,0.026647275,0.060307984,0.000214675,0.001575456,0.016652002,
72,stego_10062.png,0.065873376,0.072201354,0.148866257,0.095646996,0.050910231,0.047136495,1.89E-05,0.00279455,0.046197707,
73,stego_10063.png,0.118266345,0.133199383,0.070625535,0.107363755,0.032197226,0.077667197,5.42E-05,0.000498754,0.032680598,
74,stego_10064.png,0.206778904,0.150122278,0.224535912,0.193812365,0.050482012,0.150950645,0.00880076,0.002595968,0.038864451,
75,stego_10065.png,0.218781735,0.208513471,0.249237248,0.225510818,0.187580106,0.046688556,0.015752965,0.00284211,0.021179399,
76,stego_10066.png,0.185510891,0.20498675,0.191277368,0.193925003,0.024493838,0.173685387,0.008821906,0.005429536,0.010004237,
77,stego_10067.png,0.130885746,0.126960924,0.150594299,0.13614699,0.08502576,0.05587177,0.001306605,0.001947301,0.0126647,
78,stego_10068.png,0.231153602,0.204149819,0.188401682,0.207901701,0.148439618,0.069827207,0.011642777,0.000910397,0.021621497,
79,stego_10069.png,0.17716065,0.156263177,0.161430129,0.164951319,0.034911742,0.134743715,0.004218674,0.001207126,0.01088463,
80,stego_1007.png,0.185752235,0.236891065,0.208111385,0.210251562,0.01368472,0.199294126,0.012155407,0.009859324,0.025636502,
81,stego_10070.png,0.123423994,0.098666658,0.110327296,0.110805983,0.010543419,0.101330939,0.000116769,1.77E-06,0.012385608,
82,stego_10071.png,0.170833813,0.178650803,0.141063441,0.163516019,0.009281364,0.155679574,0.004034285,0.003100215,0.019833432,
83,stego_10072.png,0.145282433,0.115735517,0.156806814,0.139274921,0.04284967,0.100742013,0.001542519,5.51E-07,0.02118444,
84,stego_10073.png,0.087525123,0.112999727,0.077206087,0.092576979,0.007277602,0.085924703,5.51E-05,0.000198114,0.018423819,
85,stego_10074.png,0.125805035,0.06322024,0.199909076,0.129644784,0.068539453,0.065601631,0.000878813,0.001183248,0.068425267,
86,stego_10075.png,0.111689682,0.100376831,0.082359224,0.098141912,0.01012436,0.088917788,3.45E-06,0.000122815,0.0147924,
87,stego_10076.png,0.164287415,0.186647705,0.081540974,0.144158698,0.05533049,0.094030989,0.001949991,3.56E-05,0.055369036,
88,stego_10077.png,0.303137925,0.279450652,0.222450325,0.2683463,0.054403324,0.226251827,0.028340477,0.015939524,0.041474114,
89,stego_10078.png,0.018978367,0.070866729,0.031598805,0.0404813,0.015596411,0.025279153,0.003542476,0.005583205,0.027060572,
90,stego_10079.png,0.219546038,0.259336484,0.272156483,0.250346335,0.062972677,0.199966056,0.02260402,0.009993212,0.027433225,
91,stego_1008.png,0.238621478,0.239241758,0.174048032,0.217303756,0.034915291,0.188987001,0.013760171,0.007918686,0.03746184,
92,stego_10080.png,0.221076176,0.246406697,0.270036773,0.245839882,0.162949379,0.09902687,0.021269271,9.47E-07,0.02448522,
93,stego_10081.png,0.193405957,0.128426085,0.258356506,0.193396183,0.078050735,0.125110407,0.008722847,0.000630533,0.064965211,
94,stego_10082.png,0.395266232,0.301425306,0.280711728,0.325801088,0.072691103,0.272951102,0.050986131,0.029912084,0.061043572,
95,stego_10083.png,0.167984017,0.120755899,0.167664224,0.152134713,0.043231535,0.113823963,0.002718028,0.000191102,0.027175321,
96,stego_10084.png,0.141744203,0.194094442,0.141735654,0.159191433,0.054939731,0.110312226,0.003503626,0.000106342,0.030226893,
97,stego_10085.png,0.215156638,0.169061694,0.255406297,0.21320821,0.070787679,0.153270171,0.012816099,0.002837711,0.043205265,
98,stego_10086.png,0.200306014,0.27349594,0.194275035,0.22269233,0.034411792,0.194990511,0.015053408,0.009023197,0.044100434,
